Core,Master Composite,Section Depth,TAXA,Achnanthes spp.,Actinocyclus actinochilus,Asteromphalus spp.,Azpeitia tabularis,Chaetoceros subg. Phaeoceros,Cocconeis spp. ,Corethron pennatum,Coscinodiscus spp.,Diploneis spp.,Entomoneis sp.,Eucampia antarctica var. recta terminal valve,Eucampia antarctica var. recta intercalary valve,Eucampia antarctica var. antarctica terminal valve ,Eucampia antarctica var. antarctica intercalary valve ,Eucampia sp. ,Eucampia antarctica vegetative stage,Fragilariopsis curta,Fragilariopsis cylindrus,Fragilariopsis kerguelensis,Fragilariopsis lineata,Fragilariopsis obliquecostata,Fragilariopsis peragallii,Fragilariopsis pseudonana,Fragilariopsis rhombica,Fragilariopsis ritscheri,Fragilariopsis separanda,Fragilariopsis sublinearis,Fragilariopsis vanheurckii,Fragilariopsis spp.,Navicula spp.,Nitzschia spp.,Odontella weissflogii,Paralia spp.,Pleurosigma sp.,Porosira glacialis,Porosira pseudodenticulata,Proboscia inermis ,Proboscia alata ,Proboscia spp.,Pseudo-nitzschia turgiduloides,Rhizosolenia antennata f. semispina,Rhizosolenia antennata f. antennata,Rhizosolenia spp.,Shionodiscus gracilis var. gracilis,Shionodiscus gracilis var. expectus,Shionodiscus oestrupii,Shionodiscus perpusillus,Shionodiscus ritscheri,Stellarima microtrias ,Synedra and Synedropsis spp.,Thalasionema nitzschioides,Thalassiosira antarctica T2,Thalassiosira antarctica T1,Thalassiosira gravida,Thalassiosira lentiginosa,Thalassiosira oliverana,Thalassiosira tumida,Thalassiosira spp.,Thalassiothrix antarctica and Trichotoxon reinboldii,Unidentified centrics,Unidentified pennates,Total %,All sea ice Fragilariopsis,All Rhizosolenia,All Proboscia,All T. antarctica,All S. gracilis,Absolute abundance (mvpgds),F. curta / F. kerguelensis,Cor + Rhizo + Prob + Phaeo
1 3,133,133,%,0.0,0.9,0.2,0.0,1.2,0.9,3.2,0.5,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.2,18.9,2.1,19.1,0.0,0.5,0.0,0.0,1.4,3.2,1.4,0.5,2.8,0.0,0.2,0.0,4.1,0.0,0.0,0.5,0.0,0.9,0.5,0.0,2.3,1.8,0.0,0.2,3.0,2.3,0.0,0.0,0.9,0.5,0.7,0.0,17.5,0.5,0.0,1.6,0.0,0.7,0.9,0.2,0.0,1.6,100,29.3,2.1,1.4,18.0,5.3,21.378,0.99,7.8
1 3,134.5,134.5,%,0.5,1.0,0.7,0.0,0.0,0.7,0.5,0.2,0.0,0.0,0.2,0.7,0.0,0.0,1.0,0.2,20.7,4.5,15.0,0.0,0.0,0.0,0.5,3.2,3.0,0.7,0.2,1.5,0.5,1.0,0.0,4.0,0.0,0.0,1.7,0.0,0.2,0.5,0.0,0.5,3.0,0.2,0.2,1.7,2.7,0.0,0.0,1.2,0.5,0.5,0.0,20.4,1.2,0.0,1.5,0.0,0.2,1.0,0.5,0.5,0.5,100,34.2,3.5,0.7,21.7,4.5,20.046,1.38,4.7
2 3,156.25,3.25,%,0.0,1.1,0.0,0.0,1.6,0.7,1.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,15.5,3.4,8.4,0.0,0.0,0.0,0.0,1.1,1.8,0.0,0.5,2.1,0.0,0.2,0.0,3.9,0.0,0.0,0.7,0.0,4.1,2.3,0.0,1.1,31.5,1.1,3.0,1.1,0.2,0.2,0.0,0.0,0.2,0.2,0.0,9.4,0.0,0.0,0.5,0.0,0.2,0.0,0.0,0.0,1.1,100,24.4,35.6,6.4,9.4,1.4,21.162,1.84,45.0
2 3,164,11,%,0.0,1.4,0.0,0.0,0.0,0.5,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,8.3,0.5,9.7,0.0,0.7,0.0,0.0,2.1,4.6,0.5,0.9,0.9,0.0,0.0,0.0,4.2,0.0,0.0,0.5,0.0,3.9,0.5,0.0,0.2,6.5,0.2,0.9,3.0,1.8,0.0,0.0,0.0,0.2,0.0,0.0,9.9,0.0,0.0,1.6,0.0,0.0,1.2,0.9,0.0,0.9,100,18.0,7.6,4.4,9.9,4.8,20.821,0.86,45.0
2 3,171,18,%,0.0,0.7,0.0,0.0,1.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.1,20.5,1.9,4.0,0.0,0.2,0.0,0.0,0.9,1.9,0.0,0.7,1.9,0.0,0.5,0.2,0.9,0.0,0.0,0.0,0.0,32.9,0.5,0.0,1.4,15.6,0.9,1.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.2,0.0,0.5,0.0,0.0,0.7,1.2,1.4,0.7,100,28.0,17.7,33.3,4.2,0.7,47.337,5.18,52.4
2 3,174,21,%,0.0,0.7,0.9,0.0,0.4,0.4,3.8,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.7,0.2,15.9,1.1,9.7,0.0,0.0,0.0,0.0,0.2,2.2,0.7,0.7,1.1,0.2,0.0,0.4,3.8,0.0,0.0,0.0,0.0,8.4,1.1,0.0,0.9,12.1,0.2,2.9,2.9,1.8,0.2,0.0,1.8,0.7,0.0,0.0,18.3,0.0,0.0,2.2,0.2,0.4,1.3,0.2,0.4,0.4,100,21.4,15.2,9.5,18.3,4.6,21.375,1.64,28.9
2 3,184,31,%,0.0,1.4,0.2,0.0,1.2,0.7,2.6,0.5,0.0,0.0,0.2,0.5,0.0,0.2,0.5,1.4,6.7,1.4,8.4,0.0,0.0,0.0,0.0,1.0,2.2,0.5,1.7,0.5,0.0,0.0,0.0,13.2,0.0,0.0,0.0,0.0,11.8,1.0,0.2,0.7,15.4,0.5,1.7,2.6,3.6,0.0,0.0,0.2,1.0,0.2,0.0,9.4,0.7,0.0,2.9,0.0,0.5,0.0,1.7,0.7,0.0,100,13.5,17.5,13.0,10.1,6.3,15.993,0.80,34.4
2 3,194,41,%,0.5,0.9,0.2,0.0,1.4,0.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,17.9,1.7,12.7,0.0,0.0,0.2,0.0,4.2,2.4,0.5,1.2,2.4,0.9,0.5,0.2,5.0,0.0,0.0,0.2,0.0,9.9,1.4,0.0,1.2,4.0,0.2,0.9,0.7,0.5,0.2,0.0,0.5,2.6,0.2,0.0,12.3,0.0,0.0,0.9,0.0,0.9,1.2,0.2,0.9,0.9,100,30.9,5.2,11.3,12.3,1.2,27.767,1.41,21.9
2 3,204,51,%,0.0,1.7,0.5,0.0,1.0,1.2,13.5,0.5,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.5,12.0,1.0,5.4,0.0,0.5,0.2,0.0,1.0,1.5,0.0,1.2,0.5,0.0,0.2,0.0,1.7,0.0,0.0,0.7,7.1,5.4,0.0,0.2,7.8,1.0,1.7,2.9,1.5,0.0,0.0,0.0,0.5,0.2,0.0,0.0,19.1,1.2,0.0,2.7,0.0,0.0,0.2,0.5,1.0,1.2,100,17.9,5.6,5.6,20.3,1.5,15.15,2.23,25.7
2 3,214,61,%,0.0,1.2,0.5,0.0,1.0,1.7,24.9,0.7,0.0,0.0,0.5,0.2,0.0,0.2,0.2,0.0,9.1,1.7,15.1,0.0,0.2,0.0,0.2,3.2,1.7,0.5,0.2,0.7,0.0,0.5,0.0,4.7,0.0,0.0,0.2,0.0,0.5,0.2,0.0,0.2,3.2,0.7,0.7,3.7,3.5,0.2,0.0,1.0,0.2,0.0,0.0,10.6,1.2,0.0,2.5,0.2,0.2,0.2,0.2,0.2,0.5,100,17.3,4.7,0.7,11.9,7.2,12.088,0.61,31.4
